회차,시청률,회차_merge용
14,3.861%,슈퍼밴드2 14회
13,3.08%,슈퍼밴드2 13회
12,1.936%,슈퍼밴드2 12회
11,3.279%,슈퍼밴드2 11회
10,4.178%,슈퍼밴드2 10회
9,3.672%,슈퍼밴드2 9회
8,3.957%,슈퍼밴드2 8회
7,3.74%,슈퍼밴드2 7회
6,3.68%,슈퍼밴드2 6회
5,3.592%,슈퍼밴드2 5회
4,4.047%,슈퍼밴드2 4회
3,3.273%,슈퍼밴드2 3회
2,3.542%,슈퍼밴드2 2회
1,3.081%,슈퍼밴드2 1회
