회차,시청률,회차_merge용
9,2.523%,스트릿 우먼 파이터 9회
8,2.887%,스트릿 우먼 파이터 8회
7,2.487%,스트릿 우먼 파이터 7회
6,2.672%,스트릿 우먼 파이터 6회
5,2.424%,스트릿 우먼 파이터 5회
4,2.593%,스트릿 우먼 파이터 4회
3,1.871%,스트릿 우먼 파이터 3회
2,1.897%,스트릿 우먼 파이터 2회
1,0.822%,스트릿 우먼 파이터 1회
